Feature,Mean Absolute SHAP Value
Age,0.6861215904107295
GenHlth,0.4429384135712522
Sex,0.4082253118027609
HighChol,0.22794964136628743
risk_factor_count,0.20118089462755853
HighBP,0.18203748816310483
Smoker,0.10084471302509261
Income,0.09452819785262699
Stroke,0.0810607026972126
NoDocbcCost,0.04582971851544947
CholCheck,0.04315480104380802
DiffWalk,0.03827240373215809
HvyAlcoholConsump,0.03325544644964914
Diabetes_2.0,0.028861203041258176
MentHlth,0.01609556026039114
PhysActivity,0.015733863394794226
total_poor_health_days,0.015566267201780703
Veggies,0.012886239391985794
BMI,0.008581905673740573
PhysHlth,0.0074571384475187515
AnyHealthcare,0.0072148757914759516
Education,0.002841217899617908
Fruits,0.002730468915254679
Diabetes_1.0,0.0026451708644689743
