Feature,Mean Absolute SHAP Value
Age,0.6859703396009056
GenHlth,0.4428797344316909
Sex,0.4082103396279886
HighChol,0.3165876503800583
HighBP,0.2680890046525852
Smoker,0.188891403364435
Stroke,0.0964272687021562
Income,0.0939794869807495
DiffWalk,0.08716046063532
Diabetes,0.0698627694685392
NoDocbcCost,0.0457569584156883
CholCheck,0.0430757416497112
HvyAlcoholConsump,0.0333720920292032
MentHlth,0.0232815688272337
PhysHlth,0.0176906896359061
PhysActivity,0.0158254262306096
Veggies,0.0128539000934381
BMI,0.0083328553857234
AnyHealthcare,0.007266509970841
Fruits,0.0027499640756585
Education,0.0025235514355885
